tier,cgpa,leetcode_problems_solved,github_commits_last_year,hackathon_wins,past_internships,projects,communication_score,sector_demand_index,salary_lpa
1,7.86,183,385,1,2,3,84.6,1.08,29.59
3,8.92,843,138,1,2,5,60.1,0.92,23.77
2,7.11,138,172,0,2,1,71.7,0.88,13.7
1,6.57,55,670,0,0,3,59.4,1.11,20.21
3,6.35,243,277,0,0,1,53.5,1.04,8.94
3,6.49,43,12,0,0,0,69.6,0.95,5.79
3,8.45,382,90,0,2,1,89.2,0.9,15.58
2,7.43,267,805,2,0,3,85.0,1.0,21.56
2,5.58,292,75,0,2,4,72.7,1.03,17.72
3,9.01,207,23,1,1,2,67.6,1.06,15.08
3,7.28,50,446,0,1,4,81.6,0.95,13.78
2,8.08,35,23,2,3,4,51.8,0.92,19.13
3,8.22,9,54,2,0,3,78.5,1.13,13.66
2,6.5,224,253,3,1,2,74.1,1.17,26.45
3,6.02,53,67,0,2,6,63.6,1.15,12.15
3,6.34,124,116,0,0,3,70.7,0.8,6.28
3,7.27,10,141,1,1,2,60.2,1.18,15.07
3,8.03,82,111,0,1,2,62.2,0.87,10.4
3,9.74,50,256,1,0,1,63.9,0.96,8.43
2,8.58,240,303,1,0,4,33.4,1.05,16.29
2,5.14,44,502,2,1,3,79.2,1.07,17.06
1,7.32,25,430,0,1,5,53.7,1.07,20.53
2,5.0,260,632,2,1,3,74.2,0.97,18.78
3,8.65,333,559,0,0,3,80.5,0.99,16.31
2,7.26,145,514,0,0,2,100.0,0.87,12.52
2,7.54,39,44,1,1,1,79.0,1.06,16.6
3,7.22,661,62,0,0,4,79.9,0.95,13.31
3,7.59,94,376,0,0,5,75.2,0.9,10.53
1,6.68,290,61,1,1,2,89.3,0.97,26.8
2,7.62,112,489,0,2,1,100.0,1.15,18.78
2,6.36,46,11,0,1,4,72.5,1.03,12.48
3,7.85,233,627,0,2,2,84.1,1.07,18.66
2,7.82,234,77,1,3,7,94.2,1.2,31.02
3,8.07,219,223,1,1,0,57.7,0.9,11.03
2,7.38,460,557,0,2,3,74.8,0.89,20.21
2,8.75,46,263,1,2,3,80.4,0.99,18.22
3,9.68,1,2021,0,1,5,77.4,0.91,15.19
1,5.66,518,227,0,0,3,51.5,1.05,23.38
2,5.98,34,108,1,3,6,61.1,0.96,16.7
1,7.29,254,701,2,1,3,59.4,1.08,29.71
2,6.96,10,312,0,4,6,59.5,1.1,18.91
3,8.07,312,1085,0,1,3,66.5,1.05,15.19
2,8.07,774,448,0,2,5,60.7,0.91,28.8
2,7.86,90,47,2,0,0,81.8,1.06,16.11
2,5.51,256,255,3,2,4,61.1,1.04,24.3
3,7.74,27,44,1,0,2,55.6,0.85,3.14
3,9.72,395,163,1,2,3,79.8,0.93,20.55
3,8.12,123,379,2,0,3,67.5,0.88,13.65
3,7.42,677,426,1,1,3,100.0,1.0,24.21
2,8.24,115,525,2,3,0,56.2,1.01,17.56
2,6.46,113,169,0,1,3,56.6,0.95,12.48
2,8.0,110,383,0,0,5,76.0,1.06,13.85
2,7.47,185,110,0,3,1,78.9,1.09,19.9
2,6.13,12,210,0,1,5,82.4,0.9,9.84
3,7.79,325,278,1,1,2,67.2,0.89,15.25
3,7.55,68,344,0,0,5,58.5,1.27,9.74
3,8.47,23,1466,2,0,4,66.0,1.07,17.05
2,7.66,69,306,0,0,3,83.6,1.09,15.56
3,7.75,8,120,1,0,1,75.3,1.03,8.49
3,7.68,123,194,0,2,3,65.0,0.97,10.31
3,7.66,158,123,0,4,1,92.3,0.82,14.11
2,8.87,338,97,1,2,3,72.2,0.92,22.25
2,8.36,119,34,0,2,1,70.6,1.08,15.87
1,6.37,186,48,0,1,1,60.1,1.02,17.72
2,7.35,74,75,0,2,3,87.3,0.86,11.07
3,5.81,96,689,0,0,2,66.0,1.0,7.72
1,9.29,72,870,1,2,3,76.3,1.03,29.25
2,6.66,57,12,0,2,2,55.5,0.9,11.97
3,6.59,67,117,1,4,4,91.0,1.06,21.32
3,9.69,137,307,0,1,4,70.5,0.86,10.33
2,6.78,128,224,0,4,2,64.8,1.07,19.49
3,6.36,51,218,2,1,5,68.9,1.15,16.14
2,8.29,63,448,1,1,3,61.7,1.11,18.64
2,7.49,93,162,0,0,4,50.2,1.06,9.23
2,6.43,17,57,1,3,2,52.3,1.16,16.1
3,7.9,89,357,0,3,2,72.3,1.02,14.25
3,8.25,371,31,2,0,2,77.2,1.1,21.74
1,8.54,97,230,0,1,3,77.8,1.03,24.83
3,7.8,325,17,1,0,1,71.1,0.86,10.19
2,8.56,115,51,1,1,2,75.6,0.95,14.33
3,8.52,8,166,2,0,4,82.8,0.88,13.76
1,6.94,111,123,1,1,1,75.3,1.08,22.93
2,9.55,107,37,0,4,6,53.2,1.12,22.1
3,8.28,15,4,0,0,2,76.6,1.02,8.73
3,9.17,141,242,0,1,4,91.8,0.97,18.44
2,7.33,21,85,0,0,0,64.7,0.95,8.19
2,8.52,202,146,0,0,2,81.6,0.85,10.35
2,7.83,70,337,0,2,2,82.6,0.94,14.0
2,8.66,46,434,0,0,4,67.6,1.04,12.28
3,7.0,169,221,0,2,4,71.8,1.02,13.79
3,6.83,178,1007,1,1,3,59.6,1.01,15.77
2,8.98,4,223,0,1,8,78.5,1.07,16.78
2,7.79,71,315,0,1,4,79.8,0.98,13.18
3,8.68,33,10,1,2,3,84.3,0.9,13.8
2,5.81,98,36,0,1,4,48.3,0.83,10.71
3,6.53,188,491,1,0,2,88.8,1.02,13.39
2,6.87,107,181,0,1,7,58.9,0.9,11.84
3,9.06,5,888,0,0,3,52.3,0.94,9.29
3,9.01,208,71,0,0,2,86.2,1.07,12.99
3,7.61,12,208,2,1,2,33.4,0.86,11.93
3,8.08,56,1864,2,1,4,100.0,1.07,23.15
2,7.7,153,257,0,3,1,68.3,1.08,21.36
3,6.3,157,93,1,2,2,78.4,0.95,12.19
3,7.57,78,122,0,0,6,78.8,0.79,9.23
2,6.42,206,494,1,2,4,42.7,1.08,21.58
2,7.04,307,62,0,1,3,100.0,1.15,19.97
1,7.23,188,491,0,2,3,66.7,0.94,20.53
2,9.48,447,34,1,2,2,92.9,0.87,22.24
2,7.69,8,20,1,1,2,70.2,0.96,12.06
3,7.01,59,235,0,1,2,55.6,0.85,6.8
2,8.24,342,569,0,1,3,97.6,0.99,20.21
3,6.71,151,498,0,1,1,75.1,0.97,10.9
2,10.0,610,239,0,0,4,76.2,0.99,22.88
2,8.02,88,353,1,1,1,65.3,1.04,17.17
2,5.0,11,876,0,3,4,62.9,0.99,15.05
2,6.53,137,8,0,2,5,83.4,0.82,15.54
2,9.66,346,124,0,2,2,79.3,1.17,23.29
2,7.68,53,474,0,1,4,66.1,0.95,11.28
2,6.93,5,40,1,3,3,44.9,0.88,13.86
3,7.99,110,77,1,1,1,83.9,0.94,12.17
3,5.59,121,32,1,1,5,59.7,0.96,12.7
2,6.33,160,1227,1,2,4,58.4,1.04,19.61
3,5.81,70,135,0,0,4,75.3,1.0,7.39
3,7.06,33,39,0,3,4,30.1,1.01,9.84
2,9.43,3,429,0,2,3,80.6,0.92,14.53
3,8.22,86,142,0,1,5,88.6,0.97,11.71
3,8.07,123,362,0,1,4,37.5,1.03,11.58
2,6.71,123,33,2,2,7,65.3,1.03,24.86
2,8.44,231,346,0,0,6,82.7,0.93,15.99
2,6.57,26,169,0,1,4,89.3,1.08,15.58
2,7.25,221,140,2,1,5,73.0,0.95,20.64
3,8.41,49,27,1,2,6,73.7,0.97,16.06
2,7.4,212,259,1,1,5,59.4,0.9,18.79
3,8.6,11,261,0,1,1,54.2,1.01,10.84
3,7.26,29,114,0,1,3,80.6,1.03,11.21
3,9.13,16,29,1,0,2,46.8,1.1,11.9
3,8.0,428,508,0,1,3,96.8,1.03,18.7
1,6.44,391,1073,2,0,1,47.1,1.02,25.74
2,6.85,73,66,1,0,3,55.8,0.96,12.74
3,7.23,135,144,0,2,1,84.5,0.86,11.29
1,8.65,132,115,0,4,2,75.5,0.9,23.54
1,9.7,164,882,0,1,3,51.1,1.13,26.97
3,5.72,177,982,0,2,3,80.0,0.85,11.68
3,7.04,112,260,5,0,4,55.0,1.19,25.91
2,8.97,122,116,0,4,5,22.6,0.98,17.74
3,7.43,215,174,3,2,8,52.5,0.93,18.76
3,7.31,50,1688,2,2,1,49.2,1.03,17.89
2,8.19,48,172,2,2,2,79.4,1.01,19.82
1,5.88,140,60,0,0,0,68.5,0.93,19.77
3,8.23,60,75,0,1,4,74.3,0.97,11.15
2,7.87,393,296,0,2,4,69.1,1.0,20.87
2,7.74,42,283,0,2,5,56.3,1.05,12.56
2,8.8,49,367,0,2,2,73.1,1.1,15.48
3,7.42,17,184,1,1,2,46.1,0.96,7.8
2,7.55,169,730,1,0,4,50.8,0.91,15.33
2,7.72,14,133,1,1,1,81.0,1.1,14.36
2,5.04,26,128,0,2,2,65.3,1.13,16.19
3,8.76,44,215,0,3,2,47.0,0.95,9.12
2,8.21,23,148,0,0,2,42.0,1.05,7.9
3,8.15,242,146,0,1,6,58.4,0.9,12.25
3,7.91,272,51,0,0,2,73.2,1.16,13.42
2,9.13,56,24,0,2,4,78.4,0.94,12.73
3,7.76,167,61,0,1,3,56.9,0.83,9.8
3,7.24,163,201,0,0,5,64.9,1.0,9.48
3,5.42,279,395,0,0,4,74.3,0.95,11.18
2,5.98,123,251,0,0,3,52.3,0.94,8.52
3,7.13,172,13,0,0,5,71.0,0.99,11.55
3,7.62,180,300,0,1,2,60.0,1.15,10.23
3,6.79,337,158,0,3,4,95.6,1.07,20.84
2,7.22,34,1360,0,0,1,80.9,0.9,12.12
3,6.41,237,430,0,1,2,71.2,1.08,14.29
2,8.63,11,124,0,2,4,49.9,1.14,16.45
2,7.16,400,188,0,1,4,83.7,1.17,25.32
2,8.91,216,394,2,4,1,87.1,1.01,26.43
3,7.19,241,196,0,1,1,50.2,0.86,6.91
2,7.93,77,224,1,2,3,63.0,0.96,15.15
3,8.06,268,109,1,1,3,68.4,1.0,16.29
3,7.69,71,60,1,0,4,82.8,0.88,9.53
2,6.18,439,296,0,3,6,60.4,0.84,21.39
3,7.09,33,64,1,0,4,95.0,0.94,12.28
2,5.01,21,1101,1,0,6,53.0,0.84,11.1
2,9.47,50,14,0,2,2,62.7,1.04,16.58
3,5.0,101,489,0,1,0,62.2,1.12,9.77
3,8.51,241,131,0,1,7,59.8,0.92,11.72
3,7.63,78,234,2,2,2,57.5,0.91,17.24
3,5.42,35,216,1,0,4,54.8,1.0,7.56
1,7.81,77,71,0,0,2,73.9,1.0,19.41
2,6.17,100,1304,0,1,1,85.4,1.04,16.05
3,8.02,78,479,1,0,0,55.5,1.0,9.68
1,7.43,122,148,0,2,2,82.6,1.12,27.93
2,7.78,94,213,0,1,9,71.0,0.97,15.63
3,7.06,42,186,1,1,3,60.7,0.93,11.87
1,9.1,178,566,0,3,1,82.9,0.91,23.7
2,6.28,66,13,1,1,2,57.2,1.14,14.39
3,6.69,415,966,0,2,2,76.1,0.9,15.48
3,7.29,19,679,0,3,3,75.3,1.06,14.07
3,7.38,2,66,1,0,4,68.1,1.11,9.61
3,6.14,89,220,0,2,3,54.7,0.93,11.74
2,5.11,58,317,1,1,3,53.7,0.79,11.18
3,7.93,20,93,0,1,1,79.9,1.07,10.16
3,7.89,277,354,2,0,3,58.0,0.91,13.48
2,9.54,51,9,0,0,3,83.1,0.92,9.05
2,9.0,3,92,0,3,5,42.9,0.88,17.1
3,7.58,446,25,0,0,2,76.5,1.1,15.08
3,6.69,27,620,0,0,1,85.9,1.07,8.11
3,8.85,176,154,0,4,5,43.5,1.12,19.4
3,6.48,146,923,2,2,3,66.2,1.12,19.34
3,8.57,485,154,3,0,4,69.0,1.14,24.69
3,5.78,305,200,2,0,7,61.0,1.0,15.75
3,9.86,35,41,2,0,2,56.2,1.12,15.23
2,6.22,25,910,1,2,6,59.2,0.88,14.12
3,6.31,479,242,1,0,2,69.3,1.06,14.91
2,5.21,329,33,1,1,3,76.6,1.01,16.14
3,7.02,163,245,2,3,4,90.9,1.0,24.71
3,8.02,17,52,0,1,4,58.5,1.01,13.48
3,6.78,372,154,1,3,3,76.3,1.17,22.06
3,6.43,47,170,1,1,4,76.9,1.0,10.82
2,5.76,53,498,0,4,4,32.8,0.89,13.04
2,7.84,109,585,0,1,4,100.0,0.98,14.47
2,8.33,122,26,0,0,4,80.0,0.86,10.37
3,7.7,14,368,0,0,8,95.2,0.98,12.86
3,8.33,158,743,1,0,4,69.9,1.04,15.63
3,6.04,55,189,1,1,5,94.3,1.05,14.37
2,6.74,327,646,0,1,2,55.3,1.16,21.3
2,7.26,404,71,0,0,5,64.1,0.91,12.0
3,9.03,380,61,0,2,2,89.3,0.98,19.41
2,9.03,61,172,0,1,2,61.8,0.93,12.77
3,8.45,77,850,0,1,2,67.4,0.81,7.57
3,8.42,54,11,0,1,2,84.1,1.11,12.22
3,6.55,7,346,2,1,3,85.8,0.99,14.35
2,7.62,26,178,0,1,6,88.8,1.1,13.58
3,5.5,306,0,0,0,5,40.2,0.91,9.37
2,8.42,172,178,1,2,2,75.1,0.89,18.23
3,7.2,57,30,0,2,3,62.5,1.04,10.39
2,9.95,116,955,0,1,5,78.8,0.87,17.13
1,7.81,42,710,1,2,5,89.1,1.02,29.65
3,6.59,169,58,1,2,7,61.8,0.99,13.72
2,7.17,545,372,0,2,4,46.6,0.91,21.26
3,6.74,17,275,0,3,3,47.8,1.14,11.9
3,6.8,30,126,0,2,3,46.9,0.95,7.41
3,7.47,407,385,3,1,2,84.1,1.01,22.9
3,6.32,38,838,1,2,2,45.7,0.93,12.74
2,7.43,87,16,0,1,2,50.9,1.13,9.95
3,5.13,46,317,1,2,5,68.0,1.02,13.98
2,7.69,238,311,0,2,2,75.4,1.13,20.71
2,6.59,23,342,0,1,4,79.6,0.97,12.52
3,5.88,296,150,0,1,5,69.2,0.97,12.37
2,8.37,431,314,0,3,4,63.2,1.06,25.06
3,5.38,280,16,1,0,1,55.1,1.16,12.62
3,8.25,82,18,0,1,3,67.4,1.18,13.06
3,8.06,19,272,1,1,4,88.7,1.04,13.53
3,6.43,1,467,0,0,2,58.4,1.1,4.19
1,7.17,346,75,3,1,3,83.1,0.86,25.26
3,7.82,684,245,1,2,3,71.8,1.1,25.09
3,7.78,288,3,1,3,3,67.3,1.15,22.16
2,8.6,0,11,1,0,6,64.8,0.98,14.96
1,8.38,12,57,1,0,2,58.5,0.92,15.36
3,8.74,187,364,0,2,6,58.3,1.07,18.08
2,8.88,189,107,0,1,4,69.3,1.03,20.04
2,7.64,373,724,2,1,0,56.9,0.89,18.75
3,7.15,189,377,2,4,1,71.1,0.9,20.25
3,7.35,45,187,1,0,4,45.6,1.06,10.92
3,7.09,624,142,0,1,6,57.5,1.1,21.23
3,9.24,16,291,0,2,6,99.1,0.89,15.91
3,6.59,84,39,1,1,2,70.7,1.19,13.39
1,8.86,32,276,1,1,3,75.8,0.99,23.94
2,6.92,132,32,0,1,4,68.5,1.06,11.97
2,8.83,30,64,3,0,1,67.4,1.1,18.64
3,8.37,93,50,0,2,4,76.2,1.09,15.27
2,7.45,147,82,0,2,3,83.9,0.96,17.1
2,7.81,56,661,0,0,1,79.1,1.02,11.88
3,6.17,203,36,0,2,2,55.4,1.0,11.32
2,8.19,237,129,1,0,4,60.0,0.97,17.27
2,8.64,49,64,2,1,4,65.4,0.97,20.15
3,9.11,272,80,2,1,4,66.1,1.14,22.63
1,7.11,396,280,0,1,4,61.7,1.17,28.17
1,10.0,92,398,0,0,4,83.6,1.05,25.03
2,7.12,58,565,1,2,3,58.0,1.03,16.23
3,6.96,6,157,0,1,0,78.0,1.16,10.13
3,7.3,38,129,0,2,6,57.8,0.96,12.1
2,7.31,82,201,1,2,1,63.0,1.09,17.9
3,5.78,51,576,0,2,4,46.1,1.04,13.22
2,6.14,126,347,1,0,3,69.2,1.09,14.93
3,6.03,472,107,2,3,2,87.6,1.22,29.24
1,7.78,170,167,0,1,10,66.6,1.12,32.4
3,9.3,88,60,0,0,1,56.8,1.16,12.05
3,6.7,123,739,0,2,6,59.1,0.99,14.76
3,7.35,138,322,0,0,4,55.4,0.85,7.36
2,6.53,102,28,1,0,3,58.7,0.86,9.57
2,8.29,68,936,0,1,5,85.9,1.05,16.15
3,7.82,74,95,1,1,4,87.3,0.97,12.52
1,8.61,24,187,0,1,2,74.3,1.1,23.62
3,6.29,66,488,0,0,4,55.6,0.89,7.44
3,7.46,164,71,1,1,1,75.2,0.98,11.46
3,7.22,113,310,0,1,5,77.5,1.07,12.12
2,7.3,119,432,0,2,0,58.6,0.94,12.09
3,8.69,9,612,0,1,9,37.8,1.26,16.32
3,6.82,36,66,0,2,3,65.2,1.12,14.32
3,6.96,53,66,0,1,0,80.3,0.99,7.03
1,6.55,55,961,1,0,2,69.5,0.94,22.44
1,10.0,44,199,0,1,0,57.9,1.03,21.17
2,6.36,36,154,0,1,2,54.5,0.95,9.99
2,8.21,136,60,0,1,2,93.9,0.83,11.9
3,5.86,131,453,0,0,5,79.6,1.03,11.0
3,8.06,10,251,0,2,5,76.9,0.98,11.8
2,6.12,139,312,0,2,5,91.5,1.05,20.31
3,7.68,233,644,1,1,4,66.2,0.91,14.2
1,7.87,260,11,0,0,2,61.6,0.94,18.75
2,7.41,31,209,1,2,5,49.5,1.14,21.83
1,8.35,222,446,0,2,2,58.8,0.98,25.68
2,8.06,243,216,0,2,4,54.2,1.05,19.16
3,6.68,223,291,0,0,3,53.8,1.01,9.76
1,8.09,90,1045,0,1,2,68.3,0.87,18.67
3,7.77,16,43,1,2,2,66.5,0.88,12.02
2,8.65,44,157,0,2,2,60.9,1.01,14.87
3,5.76,400,165,1,0,1,52.6,1.11,12.14
2,7.63,191,91,0,0,3,57.1,0.96,10.31
2,7.61,253,64,0,0,3,88.0,0.9,12.31
1,7.05,176,191,0,3,3,75.9,0.95,25.3
2,8.77,132,94,2,1,3,74.7,0.95,18.44
2,6.65,88,378,1,1,1,82.8,0.9,13.06
3,8.35,210,171,0,3,3,50.9,0.93,16.17
3,6.63,30,551,0,1,3,76.9,0.95,8.68
3,9.09,79,231,0,1,3,90.0,0.99,13.08
3,7.99,367,473,3,1,5,43.2,1.16,26.24
1,5.63,23,1643,0,2,2,68.5,0.98,21.52
2,8.86,518,207,0,3,0,59.6,0.98,20.98
3,8.17,52,607,0,1,4,57.7,0.96,8.73
3,7.61,124,288,0,1,3,74.7,1.07,14.8
3,6.73,49,413,1,1,2,96.6,1.07,14.54
3,6.48,36,594,0,1,2,70.6,1.02,8.59
2,8.11,117,493,0,2,2,48.7,0.99,14.15
2,5.65,3,52,0,1,3,100.0,1.09,9.55
1,6.69,7,220,0,0,3,93.6,1.09,21.13
2,8.34,228,323,0,3,4,60.6,1.13,20.76
2,5.81,2,22,0,2,4,81.9,1.01,14.27
2,5.87,227,413,1,0,5,59.3,1.07,19.03
3,8.13,380,528,0,2,3,86.2,1.17,22.08
3,7.18,97,1,1,1,4,62.6,0.98,12.99
3,9.5,101,792,0,2,3,64.8,0.94,15.29
3,7.13,18,162,2,1,1,86.4,1.07,14.73
1,5.64,139,398,0,1,5,81.1,1.1,25.85
1,8.86,183,64,1,0,3,71.6,1.0,22.15
3,5.9,164,442,0,2,6,68.1,0.94,11.95
2,6.29,419,307,0,1,4,100.0,0.99,19.01
2,7.1,69,192,0,0,4,80.4,1.04,11.35
2,7.7,79,475,0,1,1,74.0,1.02,13.35
2,7.96,42,192,1,0,3,100.0,0.99,16.11
3,8.65,233,632,0,0,2,55.4,0.98,10.01
2,5.0,594,513,1,2,4,66.2,1.08,27.04
3,6.37,214,1010,0,2,2,66.6,0.97,10.31
3,8.77,393,112,0,0,4,44.4,0.76,11.7
2,6.43,1016,230,0,1,2,74.0,1.06,29.2
2,7.44,5,82,0,1,5,48.3,0.94,9.83
2,9.12,75,143,0,1,1,90.8,1.05,14.74
2,7.29,376,274,0,3,1,45.0,1.12,23.03
3,7.19,222,159,1,1,5,53.4,1.08,16.2
3,7.31,197,541,0,1,1,84.3,1.03,15.41
3,9.05,49,468,0,1,4,70.9,0.72,10.43
2,5.58,127,144,1,0,4,69.3,1.14,18.73
3,9.64,46,519,0,1,2,92.2,0.94,12.5
3,7.23,106,73,0,0,2,62.4,0.96,6.15
2,7.09,90,63,2,0,2,49.2,0.9,13.35
3,6.53,93,167,3,1,1,64.3,0.85,12.28
2,6.14,565,180,1,4,3,46.7,0.8,22.83
3,5.0,33,753,1,2,2,57.6,0.95,10.73
3,8.96,188,77,1,0,2,71.8,0.94,12.37
2,5.0,136,412,2,1,0,60.2,0.96,16.95
3,7.44,92,8,0,0,3,98.2,0.99,10.02
2,6.97,80,479,4,1,4,71.1,0.96,21.29
1,7.85,19,132,0,1,2,51.1,0.85,14.24
3,5.1,44,532,0,3,3,60.2,1.02,11.32
3,6.51,11,188,0,2,4,59.5,1.0,14.28
1,8.07,115,1051,1,3,0,66.5,0.98,26.42
2,7.72,182,270,0,1,4,71.8,0.92,15.27
2,6.7,79,60,1,0,3,39.4,1.04,12.85
2,7.62,310,464,0,0,2,62.6,1.11,16.15
3,9.57,336,103,0,0,4,43.7,1.11,13.95
3,8.81,13,354,0,1,3,73.4,0.94,10.4
3,8.67,191,868,1,0,1,21.0,1.07,12.91
2,8.16,19,91,0,1,2,83.4,1.1,13.74
3,7.72,6,295,0,1,1,71.8,0.92,7.22
2,6.68,75,97,1,4,5,90.9,1.22,27.88
3,7.57,189,579,1,3,5,38.7,1.13,21.36
3,9.86,98,906,0,0,7,82.8,1.1,17.42
3,8.6,172,232,0,1,2,82.2,0.95,12.47
2,7.07,183,31,0,0,3,62.4,0.94,10.27
2,5.0,20,4,0,1,5,50.3,1.07,11.85
1,8.41,165,530,0,4,2,46.5,0.97,26.7
3,8.62,337,852,0,0,4,78.8,1.08,17.16
2,6.85,12,150,0,2,5,62.6,1.04,16.87
2,6.7,27,474,1,0,7,72.2,1.03,14.64
2,5.16,225,327,1,1,1,60.0,1.1,13.39
3,9.01,615,165,0,2,5,91.3,0.86,21.4
2,7.0,279,267,0,0,6,67.9,1.04,16.62
3,7.81,44,547,1,2,1,61.6,1.13,15.4
3,6.18,89,181,3,1,4,69.1,0.95,14.44
3,5.76,140,156,0,0,5,51.4,0.99,7.17
2,9.29,49,173,1,1,2,74.7,1.05,16.9
2,7.03,86,92,1,1,2,82.1,0.97,15.55
2,6.6,409,35,0,0,4,78.6,1.03,17.27
2,10.0,115,178,1,0,5,50.6,1.02,14.92
2,8.68,70,512,0,1,2,82.4,1.07,13.94
3,6.63,163,42,0,0,5,99.7,0.96,8.64
2,8.38,91,309,1,2,2,64.4,1.07,20.55
3,5.57,281,549,1,0,3,82.3,0.84,11.08
1,7.12,11,623,0,0,3,93.0,0.99,18.22
3,6.49,195,647,0,2,1,56.3,0.94,8.95
3,8.0,69,1034,0,0,2,30.5,1.03,10.46
3,9.49,445,107,1,2,3,73.5,0.93,21.33
3,5.47,787,206,0,0,3,75.2,1.12,21.66
3,9.73,6,21,1,1,3,66.1,1.02,17.51
3,8.4,8,228,1,2,2,52.9,1.17,14.81
2,6.3,62,89,1,0,0,79.1,0.99,11.51
3,6.32,225,913,0,1,3,59.0,1.06,13.96
1,6.64,6,530,0,1,3,67.5,0.99,20.04
1,6.46,66,162,0,2,4,54.0,1.14,22.01
2,6.5,17,371,1,0,3,78.8,0.91,12.87
2,5.32,6,78,0,1,2,60.3,0.99,8.89
2,7.27,15,606,0,3,1,94.0,1.0,17.03
2,8.4,98,56,0,0,2,45.6,1.0,11.26
1,6.81,92,145,0,2,3,83.4,0.89,17.45
3,7.86,133,420,3,0,1,53.0,0.98,16.53
1,8.85,51,48,0,1,2,96.8,0.97,17.2
3,5.71,149,62,0,3,2,58.3,0.93,11.03
2,6.7,170,563,0,0,2,78.1,1.01,10.63
3,5.69,292,70,0,1,3,39.1,0.95,8.77
3,5.82,73,198,1,1,2,76.8,1.04,12.93
3,9.13,275,33,0,0,3,78.6,0.86,11.3
3,6.89,501,230,0,2,4,54.6,1.18,20.66
1,8.06,172,135,4,1,0,72.8,0.9,28.88
3,7.7,74,314,0,1,2,58.0,0.99,6.63
3,8.35,38,100,0,2,7,75.4,0.97,16.04
3,7.68,26,110,1,0,6,61.8,1.06,13.0
3,7.63,23,245,0,1,1,63.7,0.93,6.07
2,5.72,6,489,1,1,2,84.5,1.02,15.12
3,7.54,296,27,0,2,4,54.4,0.86,10.15
2,7.53,459,71,2,1,2,63.7,0.9,21.43
3,6.37,53,52,0,0,2,92.3,1.06,8.15
1,5.02,237,759,0,0,3,68.4,1.01,19.7
3,7.79,69,163,2,0,2,75.7,1.09,16.33
2,8.97,39,696,0,3,2,71.9,0.88,16.05
2,5.38,11,334,0,0,3,74.1,1.18,9.38
3,7.3,195,10,1,2,2,91.9,0.83,12.06
3,5.0,56,224,1,2,3,72.2,1.04,11.81
3,8.28,103,280,1,0,6,50.7,0.96,9.87
2,8.92,12,43,1,2,3,64.0,1.08,18.68
1,7.38,153,85,0,3,4,72.5,0.94,25.25
3,8.25,120,323,3,2,3,55.3,1.14,22.98
3,7.58,45,353,1,0,1,71.8,1.05,10.75
3,6.34,4,102,0,0,7,84.3,1.1,9.43
2,7.34,77,780,0,1,3,81.1,1.03,14.88
3,7.47,59,206,0,1,3,68.8,0.89,7.59
2,7.33,18,425,1,0,3,59.6,0.97,13.03
3,7.95,189,342,1,4,4,94.6,1.11,25.8
2,7.66,188,41,0,1,6,74.0,0.96,14.94
2,7.27,118,349,0,0,3,65.1,0.88,10.73
3,6.73,46,118,0,0,1,65.9,1.07,6.04
3,8.1,16,119,0,2,0,31.6,0.96,8.75
2,8.02,71,66,0,2,1,80.1,1.15,16.2
2,7.71,247,219,0,1,2,76.8,1.16,17.87
1,6.5,46,105,0,2,1,42.4,0.95,17.77
3,6.14,539,69,3,1,2,71.8,0.77,19.94
2,8.31,97,781,1,4,3,83.1,1.03,27.73
2,6.43,30,233,0,0,3,93.3,0.86,9.92
3,7.09,48,68,1,0,4,84.0,1.1,11.52
3,5.63,127,224,0,1,6,71.6,0.98,11.98
3,8.03,23,133,0,0,6,73.8,1.27,10.09
3,6.01,14,192,1,1,1,88.8,0.95,8.3
3,5.95,127,184,0,1,5,75.2,1.15,11.94
3,6.31,134,51,1,1,5,46.9,1.11,9.98
3,8.01,0,437,0,0,0,82.9,1.05,7.95
3,7.24,233,66,1,1,7,65.0,0.94,15.73
2,6.74,280,642,0,2,3,50.0,1.18,21.12
3,9.48,216,416,0,1,2,52.3,1.06,14.12
2,8.13,430,237,1,0,3,68.5,1.08,20.86
2,5.11,162,1019,1,2,4,50.6,1.05,21.51
2,6.45,15,171,1,1,8,63.2,0.84,14.91
1,5.13,124,30,0,2,1,67.9,1.05,19.78
3,6.93,187,199,2,1,2,45.9,1.01,14.56
3,8.74,193,162,0,1,4,90.9,0.98,14.94
3,7.8,110,334,0,3,4,76.6,1.07,18.98
3,7.22,60,13,0,1,1,72.1,0.78,7.36
2,6.93,205,1101,1,1,1,65.0,0.95,17.41
1,7.88,43,378,0,1,4,80.9,0.81,17.58
3,5.47,72,1017,0,1,2,69.3,1.07,10.81
3,7.36,19,303,0,1,0,71.6,1.09,7.96
2,7.7,273,557,1,0,3,79.7,0.99,16.89
3,5.97,318,491,0,0,5,60.4,1.06,9.34
2,6.43,2,516,0,1,3,63.0,1.03,12.06
2,9.86,178,529,0,1,2,83.4,0.97,18.56
2,8.13,341,253,0,2,3,82.1,0.79,13.11
2,5.45,51,138,0,1,4,68.4,0.85,8.66
3,6.6,122,334,1,1,4,44.4,0.94,10.43
3,7.47,240,8,1,0,3,53.4,1.15,12.4
2,10.0,88,138,1,2,4,79.4,0.96,17.3
3,8.57,33,261,0,2,3,54.0,0.81,10.39
